title,director,year,country,criticScore,userScore,poster,rtUrl,imdbRating,imdbKeywords
The Initiation of Sarah,Robert Day,1978,United States,,29%,https://resizing.flixster.com/VHQPtFcGq0kpFV5DTIt0Zvjcx_0=/206x305/v1.bTsxMTU1MzgzNDtqOzE3MzY4OzEyMDA7NDQ1OzY0MA,https://rottentomatoes.com/m/1010562-initiation_of_sarah,,
Invasion of the Body Snatchers,Philip Kaufman,1978,United States,94,81%,https://resizing.flixster.com/9nFkYmSwLIvpsoVMhjcfcuos4uE=/206x305/v1.bTsxMTI5MDIzODtqOzE3MzY1OzEyMDA7MTQwNzsxODc2,https://rottentomatoes.com/m/1010679-invasion_of_the_body_snatchers,7.4,alien::based on novel
Jaws 2,Jeannot Szwarc,1978,United States,52,38%,https://resizing.flixster.com/ky23bdYfy_CzInATKSuAdzonniE=/206x305/v1.bTsxMTYxNDI4MztqOzE3MzY5OzEyMDA7NjgxOzkwOA,https://rottentomatoes.com/m/jaws_2,5.7,shark::hotel
The Last House on the Beach,Franco Prosperi,1978,Italy,,40%,https://resizing.flixster.com/oKXVUTdEc8-UqvH1OxUN6z5Xrxg=/206x305/v1.bTsxMjEyMTUzMDtqOzE3Mjg1OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/the_last_house_on_the_beach,5.8,
The Legacy,Richard Marquand,1978,United States & United Kingdom,,25%,https://resizing.flixster.com/XUqyWZ6lonMgsfdIjBTpM0GqFWU=/206x305/v1.bTsxMTMwNTgzMDtqOzE3MzY1OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1012162-legacy,,
Long Weekend,Colin Eggleston,1978,Australia,,,,,,
Magic,Richard Attenborough,1978,United States,83,63%,https://resizing.flixster.com/4Ys2TI5LMpVDMHeqE7coXg8z0j8=/206x305/v1.bTsxMTI5MjUwMTtqOzE3MzY1OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/magic,,
Martin,George A. Romero,1978,United States,,,,,,
Mirrors,Noel Black,1978,United States,,,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/mirrors,,
Patrick,Richard Franklin,1978,Australia,50,53%,https://resizing.flixster.com/rEUU2cucLv2p3NWSjkm8_bOcpyQ=/206x305/v1.bTsxMTIxNzgzNztqOzE3MzY0OzEyMDA7MTk0NTsyOTQ1,https://rottentomatoes.com/m/1016035-patrick,,
Piranha,Joe Dante,1978,United States,72,42%,https://resizing.flixster.com/vJtNWaOZ5q8Gzkw2tUzevv6tCJw=/206x305/v1.bTsxMTI5MjQyNTtqOzE3MzY1OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/1016359-piranha,,
The Possession of Nurse Sherri,Al Adamson,1978,United States,,,,,2.6,ghost::devil::possession::demon::slasher
The Redeemer: Son of Satan,Constantine S. Gochis,1978,United States,,,,,5.4,slasher
The Shout,Jerzy Skolimowski,1978,United Kingdom,,,,,6.8,
